Job.ID, job_Title,Comp_ID,Loc.ID,SalID,Post.Date
397,AI-ML Dev,141,9,397,07/10/2025
398,Data Analyst,100,46,398,2025-10-07
399,lead AI Engineer,136,22,399,"October 07, 2025"
400,data engineer,84,63,400,"October 07, 2025"
401,lead AI Engineer,130,44,401,"October 07, 2025"
402,Jr. data ANALYST,113,3,402,2025-10-07
403,Softwre Dev,24,16,403,"October 07, 2025"
404,python developer,55,62,404,2025/10/07
405,python developer,23,45,405,07/10/2025
406,data engineer,76,15,406,2025-10-07
407,data engineer,125,62,407,Oct 07 2025
408,Softwre Dev,60,62,408,2025-10-07
409,DATA ENG.,28,6,409,2025-10-07
410,DATA ENG.,111,42,410,10-07-25
411,Jr. data ANALYST,65,5,411,07/10/2025
412,Jr. data ANALYST,36,55,412,10-07-25
413,Machine Learning Engnieer,101,41,413,2025/10/07
414,Fullstack Develper,116,8,414,Oct 07 2025
415,Data Analyst,22,40,415,2025/10/07
416,etl spclist,48,38,416,"October 07, 2025"
417,Data Analyst,127,67,417,07/10/2025
418,Data Analyst,8,17,418,10-07-25
419,data engineer,62,55,419,10-07-25
420,Fullstack Develper,25,25,420,07/10/2025
421,Machine Learning Engnieer,59,44,421,2025/10/07
422,Data Analyst,136,43,422,Oct 07 2025
423,QA tst Engr,115,38,423,10-07-25
424,Fullstack Develper,63,17,424,2025/10/07
425,etl spclist,87,53,425,"October 07, 2025"
426,Softwre Dev,110,59,426,2025-10-07
427,python developer,134,66,427,2025/10/07
428,lead AI Engineer,94,21,428,07/10/2025
429,Machine Learning Engnieer,18,14,429,N/A
430,Jr. data ANALYST,145,1,430,2025-10-07
431,Softwre Dev,148,62,431,Oct 07 2025
432,Softwre Dev,27,43,432,Oct 07 2025
433,python developer,67,23,433,"October 07, 2025"
434,data engineer,130,7,434,"October 07, 2025"
435,DATA ENG.,44,19,435,10-07-25
436,QA tst Engr,7,15,436,Oct 07 2025
437,lead AI Engineer,121,35,437,10-07-25
438,Softwre Dev,121,6,438,2025-10-07
439,Data Analyst,128,32,439,Oct 07 2025
440,DATA ENG.,60,66,440,10-07-25
441,Data Analyst,43,67,441,"October 07, 2025"
442,DATA ENG.,147,29,442,2025/10/07
443,data engineer,2,54,443,10-07-25
444,Jr. data ANALYST,31,40,444,Oct 07 2025
445,python developer,56,39,445,2025/10/07
446,Softwre Dev,32,43,446,10-07-25
447,etl spclist,74,8,447,2025/10/07
448,Ai ml engineer,25,44,448,2025-10-07
449,etl spclist,72,7,449,
450,backend engr,130,52,450,2025-10-07
451,lead AI Engineer,35,36,451,"October 07, 2025"
452,lead AI Engineer,148,38,452,Oct 07 2025
453,etl spclist,147,61,453,2025-10-07
454,devops engneer,66,33,454,10-07-25
455,Softwre Dev,91,55,455,2025-10-07
456,python developer,62,13,456,N/A
457,Data Analyst,113,28,457,"October 07, 2025"
458,etl spclist,87,57,458,"October 07, 2025"
459,Machine Learning Engnieer,21,63,459,Oct 07 2025
460,devops engneer,129,11,460,"October 07, 2025"
461,Ai ml engineer,138,14,461,Oct 07 2025
462,python developer,145,66,462,"October 07, 2025"
463,backend engr,14,13,463,2025/10/07
464,Softwre Dev,103,19,464,2025-10-07
465,lead AI Engineer,73,51,465,2025-10-07
466,AI-ML Dev,119,11,466,07/10/2025
467,Machine Learning Engnieer,30,68,467,10-07-25
468,Data Analyst,77,43,468,10-07-25
469,Softwre Dev,110,48,469,2025/10/07
470,Ai ml engineer,145,64,470,10-07-25
471,QA tst Engr,60,26,471,"October 07, 2025"
472,Data Analyst,114,5,472,07/10/2025
473,python developer,126,55,473,2025-10-07
474,Jr. data ANALYST,51,41,474,Oct 07 2025
475,AI-ML Dev,125,26,475,2025/10/07
476,Jr. data ANALYST,43,10,476,2025/10/07
477,Fullstack Develper,25,67,477,2025-10-07
478,devops engneer,126,49,478,07/10/2025
479,lead AI Engineer,59,21,479,07/10/2025
480,Fullstack Develper,85,26,480,Oct 07 2025
481,devops engneer,122,6,481,"October 07, 2025"
482,lead AI Engineer,54,68,482,2025/10/07
483,Fullstack Develper,5,57,483,Oct 07 2025
484,Softwre Dev,89,17,484,N/A
485,Softwre Dev,62,29,485,"October 07, 2025"
486,Fullstack Develper,126,41,486,07/10/2025
487,Jr. data ANALYST,21,60,487,2025/10/07
488,devops engneer,28,66,488,"October 07, 2025"
489,Softwre Dev,95,12,489,"October 07, 2025"
490,DATA ENG.,105,13,490,"October 07, 2025"
491,devops engneer,71,19,491,"October 07, 2025"
492,DATA ENG.,112,61,492,"October 07, 2025"
493,python developer,108,19,493,2025/10/07
494,Data Analyst,116,27,494,"October 07, 2025"
495,Jr. data ANALYST,18,41,495,10-07-25
496,devops engneer,81,43,496,07/10/2025
497,QA tst Engr,101,58,497,Oct 07 2025
498,Fullstack Develper,117,49,498,10-07-25
499,Softwre Dev,6,15,499,10-07-25
500,Jr. data ANALYST,16,1,500,07/10/2025
